,a_i_num,adr_for,area_type,site_type,silvicult,forest_fun,stand_stru,rotat_age,sub_area,prot_categ,species_cd,part_cd,spec_age,a_year
1,211017462,02-11-2-05-116   -c   -00,D-STAN,LMŚW,S,GOSP,DRZEW,100,4.83,,SO,5,13,2022
2,211017456,02-11-1-01-78    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.98,OCH USZK,SO,5,20,2022
3,211017461,02-11-1-04-226   -l   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,2.4,OCH USZK,SO,7,22,2022
4,211017458,02-11-1-03-149   -c   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.46,OCH USZK,SO,7,23,2022
5,211017030,02-11-1-01-28    -g   -00,SUKCESJA,OL,GZ,GOSP,,80,0.91,,BRZ,,83,2022
7,211017465,02-11-2-06-14    -g   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,2.85,OCH WOD,SO,4,22,2022
8,211017454,02-11-1-01-42    -a   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,6.21,OCH USZK,SO,3,20,2022
9,211017467,02-11-2-06-22    -d   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,5.58,,SO,5,11,2022
10,211017455,02-11-1-01-63    -h   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.53,OCH USZK,SO,4,22,2022
11,211017459,02-11-1-03-150   -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,5.56,OCH USZK,SO,4,9,2022
12,211017460,02-11-1-03-170   -h   -00,D-STAN,LMŚW,O,OCHR,DRZEW,0,3.81,OCH USZK,SO,7,2,2022
13,211017463,02-11-2-05-122   -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.24,OCH WOD,SO,7,21,2022
14,211000005,02-11-1-01-1     -b   -00,D-STAN,LŚW,O,OCHR,KO,80,2.04,OCH USZK,BRZ,8,78,2022
15,211017453,02-11-1-01-8     -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,6.43,OCH USZK,SO,5,11,2022
16,211017038,02-11-1-01-28    -n   -00,D-STAN,LMW,O,OCHR,DRZEW,80,0.85,OCH USZK,OL,6,98,2022
17,211017466,02-11-2-06-21    -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.65,OCH WOD,SO,5,12,2022
18,211017472,02-11-2-06-167   -d   -00,D-STAN,LW,GPZ,GOSP,DRZEW,100,3.93,,SO,4,20,2022
19,211008471,02-11-3-10-7     -i   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.28,OCH WOD,SO,6,20,2022
20,211008789,02-11-3-09-61    -h   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,0.84,,SO,7,58,2022
21,211002806,02-11-1-04-185   -j   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,0.75,OCH USZK,SO,4,68,2022
23,211024366,02-11-1-04-230   -h   -00,SUKCESJA,BMŚW,S,GOSP,,100,0.72,,SO,,0,2022
24,211023016,02-11-3-09-96    -c   -00,D-STAN,LMW,O,OCHR,KO,100,4.11,OCH WOD,SO,10,98,2022
25,211003101,02-11-1-04-195   -d   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,4.54,OCH USZK,SO,9,38,2022
27,211001189,02-11-1-02-54    -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,6.34,OCH USZK,SO,9,38,2022
29,211004736,02-11-2-06-17    -c   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,6.96,,SO,6,93,2022
30,211005573,02-11-2-06-131   -c   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,4.76,,SO,10,78,2022
32,211024698,02-11-3-12-169   -g   -99,D-STAN,BMW,S,OCHR,DRZEW,100,3.6,OCH WOD,SO,7,8,2022
33,211006292,02-11-2-07-40    -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,2.72,OCH WOD,SO,5,33,2022
34,211023242,02-11-3-11-139   -d   -00,D-STAN,LMW,O,OCHR,DRZEW,80,4.14,OCH WOD,BRZ,4,28,2022
35,211021734,02-11-3-09-2     -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,5.48,,SO,10,41,2022
36,211018810,02-11-2-06-46    -dx  -00,D-STAN,LŁ,S,OCHR,DRZEW,80,1.98,OCH WOD,OL,7,21,2022
37,211023010,02-11-2-07-42    -a   -00,D-STAN,LMŚW,GPZ,GOSP,KO,100,4.82,,SO,10,108,2022
38,211006313,02-11-2-07-41    -g   -00,D-STAN,LW,S,OCHR,DRZEW,80,7.58,OCH WOD,OL,4,7,2022
39,211024531,02-11-3-11-189   -d   -99,D-STAN,BMW,O,OCHR,DRZEW,100,2.43,OCH WOD,SO,8,48,2022
41,211023798,02-11-2-06-167   -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.75,OCH WOD,SO,3,26,2022
42,211003226,02-11-1-04-200   -m   -00,D-STAN,LW,O,OCHR,DRZEW,140,0.04,OCH USZK,DB,8,123,2022
43,211002911,02-11-1-04-210   -b   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,3.56,OCH USZK,SO,8,31,2022
45,211024619,02-11-3-11-226   -f   -99,D-STAN,BMW,O,OCHR,DRZEW,100,1.04,OCH WOD,SO,7,23,2022
46,211004120,02-11-2-05-182   -h   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,3.6,,SO,10,93,2022
47,211008550,02-11-3-09-24    -f   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.76,,SO,10,41,2022
48,211004572,02-11-2-05-7     -b   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,5.85,,SO,5,6,2022
49,211004803,02-11-2-06-22    -c   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,80,4.4,,BRZ,9,43,2022
51,211008669,02-11-3-10-31    -m   -00,D-STAN,BMW,GZ,GOSP,DRZEW,80,0.29,,BRZ,4,63,2022
52,211005469,02-11-2-06-125   -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.69,OCH WOD,SO,7,58,2022
53,211024020,02-11-1-04-214   -c   -00,D-STAN,BMŚW,O,OCHR,KO,100,4.64,OCH USZK,SO,10,113,2022
56,211021180,02-11-3-11-197   -i   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,3.23,,SO,10,98,2022
57,211011476,02-11-3-12-176   -a   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,0.84,,SO,10,63,2022
58,211022536,02-11-3-09-6     -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,9.1,OCH WOD,SO,8,63,2022
59,211010578,02-11-3-10-231   -a   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,4.69,,SO,10,68,2022
60,211024631,02-11-1-02-82A   -fx  -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,0.5,OCH USZK,BRZ,9,67,2022
61,211006332,02-11-2-07-42    -k   -00,D-STAN,LW,O,OCHR,2 PIĘTR,80,8.39,OCH WOD,OL,10,108,2022
62,211005941,02-11-2-06-197   -k   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,140,0.67,,DB,8,83,2022
63,211001451,02-11-1-02-89    -f   -00,D-STAN,LMŚW,O,OCHR,DRZEW,120,3.74,OCH USZK,BK,6,88,2022
64,211000384,02-11-1-01-40    -d   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,3.03,OCH USZK,SO,7,28,2022
66,211003635,02-11-1-04-235   -a   -00,D-STAN,LMŚW,S,OCHR,DRZEW,100,1.87,OCH USZK,SO,8,28,2022
67,211004013,02-11-2-05-156   -f   -00,D-STAN,LMW,O,OCHR,DRZEW,100,2.47,OCH WOD,SO,5,28,2022
68,211000422,02-11-1-01-44    -c   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,2.69,,SO,7,33,2022
69,211007236,02-11-2-08-142   -f   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,1.4,,SO,10,58,2022
70,211006523,02-11-2-07-64    -a   -00,D-STAN,LW,O,OCHR,DRZEW,80,4.53,OCH WOD,OL,7,59,2022
71,211023530,02-11-1-03-166   -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,13.86,OCH USZK,SO,6,48,2022
72,211001865,02-11-1-03-127   -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,2.33,OCH USZK,SO,7,43,2022
74,211002952,02-11-1-04-213   -a   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,1.86,OCH USZK,SO,10,88,2022
76,211002116,02-11-1-03-144   -g   -00,ZRĄB,LMŚW,O,OCHR,,0,4.09,OCH USZK,SO,6,2,2022
77,211001018,02-11-1-02-29    -c   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,3.03,OCH USZK,SO,7,83,2022
78,211006170,02-11-2-07-27    -f   -00,D-STAN,LMW,O,OCHR,DRZEW,100,2.56,OCH WOD,SO,4,12,2022
79,211021756,02-11-3-09-51    -a   -00,D-STAN,BMW,O,OCHR,DRZEW,100,18.56,OCH WOD,SO,10,58,2022
81,211018034,02-11-3-09-89    -c   -00,D-STAN,LW,O,OCHR,DRZEW,80,6.23,OCH WOD,BRZ,4,43,2022
82,211011326,02-11-3-12-128   -f   -00,D-STAN,LMŚW,GPZ,GOSP,KO,100,2.49,,DB.C,10,43,2022
83,211006129,02-11-2-07-24    -d   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.56,,SO,10,23,2022
84,211023508,02-11-1-04-191   -d   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,9.85,OCH USZK,SO,9,63,2022
85,211001117,02-11-1-02-36    -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,4.12,OCH USZK,SO,9,48,2022
86,211002044,02-11-1-03-140   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,5.9,OCH USZK,SO,7,43,2022
87,211003058,02-11-1-04-192   -d   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.73,OCH USZK,SO,10,93,2022
88,211022591,02-11-3-11-145   -b   -00,D-STAN,LMW,O,OCHR,DRZEW,0,5.39,OCH WOD,DB,6,11,2022
90,211008212,02-11-3-09-94    -d   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,2.83,OCH WOD,BRZ,5,28,2022
92,211000932,02-11-1-01-110   -i   -00,D-STAN,LMŚW,S,GOSP,DRZEW,100,5.27,,SO,5,143,2022
93,211004556,02-11-2-06-5     -b   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,5.4,OCH WOD,SO,7,38,2022
94,211010360,02-11-3-10-200   -c   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,2.25,,SO,8,18,2022
95,211023928,02-11-1-02-98    -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,5.8,OCH USZK,SO,8,38,2022
96,211003759,02-11-2-05-44    -o   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,1.98,,SO,5,53,2022
98,211007467,02-11-2-08-177   -d   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,3.13,,SO,10,43,2022
99,211007023,02-11-2-08-109   -cx  -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.12,,SO,10,63,2022
100,211006550,02-11-2-07-65    -h   -00,D-STAN,LW,O,OCHR,DRZEW,140,3.95,OCH WOD,DB,4,6,2022
101,211019892,02-11-1-03-132   -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,12.15,OCH USZK,SO,10,58,2022
102,211003718,02-11-1-04-242   -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,9.99,OCH USZK,SO,6,78,2022
103,211024648,02-11-1-02-86    -c   -99,D-STAN,LMŚW,O,OCHR,DRZEW,100,4.95,OCH USZK,SO,10,113,2022
104,211003485,02-11-1-04-225   -i   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.91,OCH USZK,SO,9,63,2022
105,211001300,02-11-1-02-61    -f   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,4.69,OCH USZK,SO,6,73,2022
106,211006151,02-11-2-07-26    -a   -00,D-STAN,BMŚW,S,REZ,DRZEW,100,5.23,,SO,10,98,2022
107,211003959,02-11-2-05-152   -c   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,5.55,,SO,5,21,2022
108,211017158,02-11-1-01-66    -o   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,0.89,,SO,4,20,2022
109,211018081,02-11-3-10-153   -d   -00,D-STAN,BMW,O,OCHR,DRZEW,100,6.01,OCH WOD,SO,10,88,2022
110,211003699,02-11-1-04-241   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,5.03,OCH USZK,SO,5,63,2022
111,211019842,02-11-3-10-152   -a   -00,D-STAN,BMW,GZ,GOSP,DRZEW,100,2.41,,SO,10,103,2022
112,211003286,02-11-1-04-204   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,1.41,OCH USZK,DB,7,73,2022
114,211010821,02-11-3-12-37    -b   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,6.73,,SO,10,63,2022
115,211009871,02-11-3-11-221   -a   -00,D-STAN,BMW,O,OCHR,DRZEW,100,6.16,OCH WOD,SO,5,11,2022
116,211018596,02-11-2-07-40    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,7.48,OCH WOD,SO,10,73,2022
118,211024518,02-11-1-01-28    -l   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,6.53,OCH USZK,DB,4,78,2022
119,211004649,02-11-2-06-12    -k   -00,D-STAN,LMŚW,O,OCHR,KO,100,3.77,OCH WOD,SO,7,103,2022
120,211001751,02-11-1-02-119   -a   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,8.61,OCH USZK,ŚW,3,58,2022
121,211005798,02-11-2-06-166   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,0.72,OCH WOD,SO,9,63,2022
122,211001093,02-11-1-02-34    -g   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,18.88,OCH USZK,SO,10,63,2022
123,211024657,02-11-1-04-188   -b   -01,ZRĄB,LMŚW,O,OCHR,,100,3.32,OCH USZK,SO,,111,2022
124,211000288,02-11-1-01-20    -f   -00,D-STAN,OL,O,OCHR,DRZEW,80,0.44,OCH USZK,OL,10,78,2022
125,211002857,02-11-1-04-188   -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,7.49,OCH USZK,DB,9,113,2022
126,211024536,02-11-3-11-226   -g   -01,D-STAN,LMW,O,OCHR,DRZEW,100,1.38,OCH WOD,SO,4,28,2022
127,211023550,02-11-1-03-177   -b   -00,D-STAN,LMŚW,O,OCHR,KDO,80,2.56,OCH USZK,BRZ,8,58,2022
128,211005387,02-11-2-06-105   -i   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,1.53,,SO,10,48,2022
129,211003412,02-11-1-04-216   -b   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,6.93,OCH USZK,SO,6,13,2022
130,211021603,02-11-1-01-20    -a   -00,D-STAN,OL,O,OCHR,DRZEW,80,4.78,OCH USZK,OL,10,93,2022
131,211000876,02-11-1-01-108   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,0.64,OCH USZK,SO,9,6,2022
132,211006371,02-11-2-07-56    -d   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.28,,SO,10,78,2022
133,211000826,02-11-1-01-95    -d   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,2.3,OCH USZK,SO,9,113,2022
134,211017852,02-11-2-05-2     -k   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,80,4.97,,BRZ,3,30,2022
136,211009472,02-11-3-11-145   -d   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,100,3.12,,SO,5,8,2022
137,211023650,02-11-3-09-51    -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,8.82,OCH WOD,SO,5,28,2022
138,211004420,02-11-2-05-215   -f   -00,ZRĄB,BMŚW,O,OCHR,,0,1.89,OCH WOD,SO,,102,2022
139,211009809,02-11-3-11-196   -g   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,1.08,,SO,10,68,2022
140,211007611,02-11-2-08-206   -c   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,3.73,,SO,9,63,2022
141,211005926,02-11-2-06-196   -f   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.54,OCH WOD,MD,3,28,2022
142,211002853,02-11-1-04-188   -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.58,OCH USZK,SO,4,21,2022
143,211023387,02-11-3-10-68    -g   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,8.33,,SO,10,63,2022
144,211007307,02-11-2-08-145   -g   -00,D-STAN,BMW,O,OCHR,DRZEW,100,4.56,OCH WOD,SO,10,48,2022
145,211010287,02-11-3-12-166   -b   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.5,OCH WOD,SO,10,53,2022
147,211024519,02-11-1-01-28A   -b   -00,D-STAN,OL,GZ,GOSP,DRZEW,80,16.42,,OL,7,63,2022
148,211002063,02-11-1-03-141   -d   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,0.96,OCH USZK,SO,10,43,2022
149,211004587,02-11-2-05-8     -f   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,5.67,,SO,5,53,2022
150,211001753,02-11-1-02-119   -b   -00,D-STAN,LŚW,O,OCHR,DRZEW,80,7.16,OCH USZK,BRZ,4,35,2022
151,211008599,02-11-3-10-27    -g   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.5,,SO,10,58,2022
152,211006206,02-11-2-07-29    -l   -00,D-STAN,LMW,O,OCHR,KO,80,2.71,OCH WOD,OL,7,58,2022
153,211000378,02-11-1-01-40    -a   -00,D-STAN,LŚW,O,OCHR,DRZEW,0,3.4,OCH USZK,BK,6,7,2022
154,211007577,02-11-2-08-204   -f   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,3.9,,SO,10,88,2022
155,211006767,02-11-2-07-78    -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.9,OCH WOD,SO,5,63,2022
156,211022674,02-11-2-07-76    -i   -00,D-STAN,LMW,O,OCHR,DRZEW,100,3.8,OCH WOD,SO,7,103,2022
157,211000170,02-11-1-01-12    -j   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.24,OCH USZK,SO,10,53,2022
158,211009335,02-11-3-11-138   -b   -00,D-STAN,LMW,GPZ,GOSP,KO,120,4.15,,BK,4,133,2022
159,211023295,02-11-3-11-191   -b   -00,D-STAN,BMW,O,OCHR,DRZEW,100,2.19,OCH WOD,SO,10,38,2022
160,211021303,02-11-1-02-57    -a   -00,D-STAN,LW,O,OCHR,DRZEW,100,7.82,OCH USZK,SO,8,38,2022
163,211000589,02-11-1-01-69    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.4,OCH USZK,SO,6,48,2022
165,211017411,02-11-1-03-168   -c   -00,D-STAN,LW,O,OCHR,DRZEW,140,2.45,OCH USZK,DB,3,9,2022
166,211009044,02-11-3-09-102   -f   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.28,OCH WOD,SO,8,43,2022
167,211009287,02-11-3-10-115   -j   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,0.61,OCH WOD,SO,10,68,2022
168,211002840,02-11-1-04-187   -h   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,1.46,OCH USZK,BRZ,5,33,2022
169,211004530,02-11-2-06-3     -c   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,1.01,OCH WOD,MD,6,58,2022
170,211021986,02-11-1-01-124   -g   -00,D-STAN,LMW,O,OCHR,DRZEW,80,6.15,OCH USZK,BRZ,7,43,2022
171,211003113,02-11-1-04-195   -j   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,1.12,OCH USZK,SO,10,68,2022
173,211024558,02-11-3-09-102   -b   -99,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,2.64,,SO,10,98,2022
174,211024554,02-11-2-07-56    -c   -99,D-STAN,BŚW,GZ,GOSP,DRZEW,100,0.94,,SO,10,98,2022
175,211005991,02-11-2-06-218   -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,2.24,OCH WOD,SO,8,33,2022
176,211010278,02-11-3-12-165   -f   -00,D-STAN,LMW,S,OCHR,DRZEW,80,0.84,OCH WOD,OL,5,43,2022
177,211023846,02-11-2-07-59    -f   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,11.84,,SO,10,30,2022
178,211003565,02-11-1-04-231   -a   -00,D-STAN,BMŚW,S,OCHR,DRZEW,100,2.24,OCH USZK,SO,8,33,2022
179,211019558,02-11-3-10-114   -a   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,2.12,OCH WOD,SO,10,43,2022
180,211010224,02-11-3-10-161   -c   -00,D-STAN,BMW,O,OCHR,DRZEW,100,17.09,OCH WOD,SO,8,68,2022
182,211017163,02-11-1-01-50    -g   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,1.63,,SO,7,83,2022
183,211018544,02-11-3-11-142   -i   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,2.99,,SO,8,33,2022
185,211024110,02-11-1-04-213   -i   -00,D-STAN,LMŚW,O,OCHR,KO,100,5.39,OCH USZK,SO,10,103,2022
186,211006046,02-11-2-06-223   -a   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.85,OCH WOD,SO,6,63,2022
187,211010483,02-11-3-10-207   -d   -00,D-STAN,LW,O,OCHR,DRZEW,80,0.88,OCH WOD,OL,10,98,2022
188,211000277,02-11-1-01-19    -o   -00,ZRĄB,BMŚW,O,OCHR,,0,2.94,OCH USZK,SO,,101,2022
189,211002515,02-11-1-03-170   -m   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,6.62,OCH USZK,BRZ,9,43,2022
190,211017988,02-11-2-07-23    -d   -00,D-STAN,BMŚW,GZ,GOSP,KO,100,5.45,,SO,10,108,2022
194,211022889,02-11-3-12-128   -d   -00,D-STAN,LMŚW,GPZ,GOSP,KDO,100,4.39,,SO,10,128,2022
195,211000596,02-11-1-01-70    -d   -00,D-STAN,LMŚW,O,OCHR,KO,100,1.43,OCH USZK,SO,10,118,2022
196,211002086,02-11-1-03-142   -j   -00,D-STAN,LMŚW,O,OCHR,KO,100,3.24,OCH USZK,SO,10,118,2022
197,211000578,02-11-1-01-68    -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,2.99,OCH USZK,SO,6,28,2022
198,211023895,02-11-1-02-37    -f   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,6.09,OCH USZK,SO,8,43,2022
199,211000134,02-11-1-01-10    -i   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.28,OCH USZK,MD,7,33,2022
200,211007649,02-11-2-08-225   -a   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,4.43,,SO,10,58,2022
201,211005684,02-11-2-08-136   -h   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,0.19,,SO,10,83,2022
203,211023640,02-11-3-09-12    -i   -00,D-STAN,LMW,O,OCHR,DRZEW,100,9.66,OCH WOD,SO,9,73,2022
204,211024647,02-11-1-02-86    -c   -01,D-STAN,LMŚW,O,OCHR,KDO,100,5.06,OCH USZK,SO,10,113,2022
205,211008027,02-11-3-09-55    -a   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,5.06,,SO,10,88,2022
206,211009683,02-11-3-11-188   -h   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.68,OCH WOD,SO,10,73,2022
207,211023620,02-11-2-05-159   -d   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,140,3.5,,DB,10,9,2022
208,211018222,02-11-3-10-114   -f   -00,D-STAN,BMW,O,OCHR,DRZEW,100,6.88,OCH WOD,SO,10,68,2022
209,211018037,02-11-3-09-91    -c   -00,D-STAN,LMW,O,OCHR,DRZEW,80,2.34,OCH WOD,BRZ,5,43,2022
210,211019956,02-11-3-11-131   -g   -00,D-STAN,LMŚW,GPZ,GOSP,KO,100,3.74,,SO,10,128,2022
211,211002052,02-11-1-03-140   -d   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,3.74,OCH USZK,DB,3,63,2022
212,211000093,02-11-1-01-7     -j   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,0.53,OCH USZK,BRZ,7,53,2022
213,211024144,02-11-3-12-76    -f   -00,D-STAN,BMŚW,S,GOSP,DRZEW,100,0.93,,SO,7,23,2022
215,211008776,02-11-3-09-60    -a   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.64,,SO,10,43,2022
217,211003388,02-11-1-04-214   -h   -00,D-STAN,BMŚW,O,OCHR,DRZEW,100,3.3,OCH USZK,SO,7,28,2022
218,211018288,02-11-2-08-178   -a   -00,D-STAN,BMW,O,OCHR,DRZEW,100,4.65,OCH WOD,SO,9,63,2022
219,211023052,02-11-2-07-60    -g   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.48,,SO,9,6,2022
220,211003598,02-11-1-04-232   -j   -00,D-STAN,BMŚW,S,OCHR,DRZEW,100,6.73,OCH USZK,SO,6,9,2022
222,211023288,02-11-3-11-187   -a   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,6.14,,SO,10,58,2022
223,211009360,02-11-3-11-139   -c   -00,D-STAN,LMW,O,OCHR,DRZEW,120,6.42,OCH WOD,BK,4,78,2022
224,211010248,02-11-3-12-163   -d   -00,D-STAN,LW,O,OCHR,DRZEW,80,4.35,OCH WOD,OL,9,78,2022
225,211001462,02-11-1-02-90    -f   -00,D-STAN,LMŚW,O,OCHR,KO,100,6.45,OCH USZK,SO,8,153,2022
227,211001290,02-11-1-02-61    -a   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,5.1,OCH USZK,SO,7,58,2022
228,211004536,02-11-2-06-3     -g   -00,D-STAN,LŚW,O,OCHR,DRZEW,80,4.59,OCH WOD,BRZ,6,53,2022
229,211005541,02-11-2-06-129   -f   -00,D-STAN,LMW,O,OCHR,KDO,100,5.53,OCH WOD,SO,10,108,2022
230,211023894,02-11-1-02-36    -d   -00,D-STAN,LMW,O,OCHR,DRZEW,100,9.6,OCH USZK,SO,5,58,2022
231,211011083,02-11-3-12-80    -g   -00,D-STAN,LŚW,O,OCHR,KO,100,2.38,OCH WOD,SO,10,103,2022
232,211017530,02-11-3-09-61    -d   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,4.23,,SO,10,18,2022
233,211023837,02-11-2-07-51    -c   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,100,2.76,,SO,9,43,2022
234,211001748,02-11-1-02-118   -f   -00,D-STAN,LW,O,OCHR,DRZEW,100,2.26,OCH USZK,BK,3,30,2022
235,211005421,02-11-2-08-107   -f   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.19,,SO,10,53,2022
236,211002191,02-11-1-03-149   -b   -00,D-STAN,LW,O,OCHR,DRZEW,80,2.52,OCH USZK,BRZ,9,78,2022
237,211010327,02-11-3-10-199   -a   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,1.26,,SO,10,68,2022
238,211024728,02-11-3-12-35    -d   -99,D-STAN,BMW,O,OCHR,DRZEW,100,5.68,OCH WOD,SO,9,98,2022
239,211005845,02-11-2-08-169   -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.88,OCH WOD,SO,4,9,2022
240,211009532,02-11-3-11-149   -a   -00,D-STAN,BMW,O,OCHR,DRZEW,100,7.32,OCH WOD,SO,8,43,2022
