,a_i_num,adr_for,area_type,site_type,silvicult,forest_fun,stand_stru,rotat_age,sub_area,prot_categ,species_cd,part_cd,spec_age,a_year
3456,211003709,02-11-1-04-241   -f   -00,D-STAN,LMŚW,O,OCHR,DRZEW,120,4.74,OCH USZK,BK,4,83,2022
3457,211011392,02-11-3-12-170   -g   -00,D-STAN,BMW,O,OCHR,DRZEW,100,3.3,OCH WOD,SO,10,103,2022
3458,211008933,02-11-3-10-71    -l   -00,D-STAN,BMW,O,OCHR,DRZEW,100,0.76,OCH WOD,SO,10,68,2022
3459,211024045,02-11-1-01-124   -i   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,3.89,,SO,7,58,2022
3460,211009775,02-11-3-11-194   -c   -00,D-STAN,LMW,O,OCHR,DRZEW,80,1.05,OCH WOD,BRZ,5,53,2022
3461,211000100,02-11-1-01-8     -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.81,OCH USZK,SO,6,28,2022
3462,211017112,02-11-3-11-229   -c   -00,D-STAN,LŚW,GPZ,GOSP,DRZEW,80,0.02,,GB,4,123,2022
3463,211002078,02-11-1-03-142   -b   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,2.06,OCH USZK,BRZ,6,58,2022
3464,211003122,02-11-1-04-196   -c   -00,D-STAN,LŚW,O,OCHR,DRZEW,140,6.78,OCH USZK,DB,10,118,2022
3465,211005954,02-11-2-08-198   -f   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,140,0.74,,DB,6,58,2022
3466,211003741,02-11-2-05-44    -b   -00,D-STAN,LW,O,OCHR,DRZEW,80,3.98,OCH WOD,BRZ,6,73,2022
3467,211023154,02-11-1-01-107   -f   -00,D-STAN,LMŚW,S,GOSP,DRZEW,100,0.52,,SO,10,113,2022
3468,211022622,02-11-2-06-167   -m   -00,D-STAN,BMW,O,OCHR,DRZEW,100,1.21,OCH WOD,SO,6,128,2022
3469,211001899,02-11-1-03-129   -f   -00,D-STAN,LMŚW,O,OCHR,DRZEW,140,0.92,OCH USZK,DB,10,103,2022
3470,211011100,02-11-3-12-81    -h   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,3.31,,SO,10,63,2022
3472,211001860,02-11-1-03-126   -h   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,0.49,OCH USZK,SO,5,7,2022
3473,211019707,02-11-2-07-66    -a   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,3.66,,SO,8,78,2022
3474,211006048,02-11-2-06-223   -b   -00,D-STAN,LMW,GPZ,GOSP,KO,140,8.06,,DB,8,83,2022
3476,211000262,02-11-1-01-18    -i   -00,D-STAN,BMŚW,O,OCHR,DRZEW,10,1.73,OCH USZK,SO,8,3,2022
3477,211019118,02-11-2-06-98    -a   -00,D-STAN,LŁ,S,GOSP,DRZEW,80,0.91,,OL,10,18,2022
3478,211009796,02-11-3-11-195   -f   -00,D-STAN,LMW,O,OCHR,DRZEW,120,1.9,OCH WOD,BK,5,78,2022
3479,211023926,02-11-1-02-97    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,3.25,OCH USZK,SO,5,73,2022
3480,211022529,02-11-3-09-57    -f   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,2.59,,SO,9,23,2022
3481,211019894,02-11-3-10-162   -c   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.91,OCH WOD,SO,5,38,2022
3482,211004807,02-11-2-06-22    -g   -00,D-STAN,LMW,GPZ,GOSP,DRZEW,100,4.12,,SO,4,25,2022
3484,211004199,02-11-2-05-187   -g   -00,POL ŁOW,LMŚW,GPZ,GOSP,,0,1.11,,,,0,2022
3485,211018654,02-11-2-05-185   -f   -00,D-STAN,LMŚW,GPZ,GOSP,DRZEW,100,5.76,,SO,5,12,2022
3486,211004277,02-11-2-05-208   -c   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,1.32,OCH WOD,SO,5,53,2022
3488,211010438,02-11-3-10-204   -f   -00,D-STAN,BMŚW,GZ,GOSP,DRZEW,100,0.65,,SO,10,43,2022
3489,211001132,02-11-1-02-37    -c   -00,D-STAN,LMŚW,O,OCHR,DRZEW,120,3.39,OCH USZK,SO,5,4,2022
3491,211022001,02-11-1-03-176   -i   -00,D-STAN,LŚW,O,OCHR,DRZEW,100,5.56,OCH USZK,SO,6,53,2022
3492,211004939,02-11-2-07-49    -h   -00,D-STAN,LMW,O,OCHR,DRZEW,100,1.48,OCH WOD,SO,6,48,2022
3493,211000752,02-11-1-01-80    -d   -00,D-STAN,LMŚW,O,OCHR,DRZEW,100,1.97,OCH USZK,SO,8,63,2022
3494,211008192,02-11-3-09-92    -d   -00,D-STAN,LMŚW,O,OCHR,DRZEW,80,2.21,OCH WOD,BRZ,4,43,2022
3495,211008186,02-11-3-09-92    -b   -00,D-STAN,LMW,O,OCHR,DRZEW,100,0.88,OCH WOD,SO,4,103,2022
3496,211023872,02-11-2-07-80    -b   -00,D-STAN,LW,GPZ,GOSP,DRZEW,80,3.29,,GB,4,53,2022
3497,211022687,02-11-2-08-138   -c   -00,D-STAN,BŚW,GZ,GOSP,DRZEW,100,4.54,,SO,6,9,2022
3498,211018802,02-11-2-06-46    -i   -00,D-STAN,LMW,O,OCHR,DRZEW,100,4.68,OCH WOD,SO,3,14,2022
